,product_id,client_id,product_name,price,avg_mark,product_type,retailer_id
0,100256329,Essie,Vernis 79 Sand Tropez,14.0,4,vernis-a-ongles,marionnaud_fr
1,100009779,DIOR,Crayon Eyeliner Waterproof,26.0,"4,9",eyeliner,marionnaud_fr
2,100150014,Guerlain,Eyeliner,41.0,"4,9",eyeliner,marionnaud_fr
3,100017998,Lancôme,Artliner Eyeliner Fluide,37.0,"4,6",eyeliner,marionnaud_fr
4,100117505,Lancôme,Hypnôse Drama Mascara Volume Indécent Instantané,32.0,"4,8",mascara,marionnaud_fr
5,100954813,ELLE MAKEUP,Mon Mascara Volume & Courbe 03 BLEU 14ML,19.0,3,mascara,marionnaud_fr
6,100954670,ELLE MAKEUP,Mon Fard Velours  S05 BLEU INDIGO 3G,15.0,5,ombre-a-paupieres,marionnaud_fr
7,100830132,DIOR,Brillance Miroir Sensationnelle Volume Hydra-Plumping,34.0,"4,5",gloss,marionnaud_fr
8,100387636,BLACK UP,Teint CC Cream Multi Action Fond de Teint Soin Correcteur,37.0,4,fond-de-teint,marionnaud_fr
9,100946207,Guerlain,L'Art Du Trait - Feutre Eyeliner Précision,38.0,5,eyeliner,marionnaud_fr
10,100844569,Clarins,"Rouge à lèvres hydratant, brillant",28.0,"4,8",rouge-a-levres,marionnaud_fr
11,100855250,Clinique,Rouge à Lèvres Laque + Base Lissante 2 en 1,27.0,2,rouge-a-levres,marionnaud_fr
12,100946371,Guerlain,Anti-Cernes Correcteur Multi-Perfection - Hydratant - Flouteur,35.0,"4,2",anti-cernes-et-correcteur,marionnaud_fr
13,100826141,Armani,Base Invisible Haute Protection,78.0,1,base-de-teint-et-primer,marionnaud_fr
14,100846118,Guerlain,"La poudre bronzante, hâle naturel",49.0,"4,9",poudre-de-soleil,marionnaud_fr
15,101060256,Estée Lauder,Duo BB total éclat et baume illuminateur,61.0,4,crescent-white-duo-bb-total-eclat-et-baume-illuminateur-estee-lauder,marionnaud_fr
16,100957213,Lancôme,Teint Idole Ultra Cushion Longue Tenue Et Haute Couvrance,52.0,5,fond-de-teint,marionnaud_fr
17,100490351,Guerlain,Mascara Cils D'Enfer Waterproof,35.0,"4,5",mascara,marionnaud_fr
18,100499275,Givenchy,Mascara,36.0,"4,5",mascara,marionnaud_fr
19,100295176,Guerlain,Mascara Cils D'Enfer,35.0,"4,7",mascara,marionnaud_fr
20,100310364,Lancôme,Hypnôse Khôl Waterproof,22.0,5,eyeliner,marionnaud_fr
21,100310461,Lancôme,Hypnôse Star Palette Eyes,59.0,5,ombre-a-paupieres,marionnaud_fr
22,100297454,Sisley,So Intense,47.0,"4,2",mascara,marionnaud_fr
23,100320212,Clinique,Mascara Impact Optimal Waterproof,28.0,"4,3",mascara,marionnaud_fr
24,100384515,Sisley,Phyto-Ombre Glow,36.0,5,ombre-a-paupieres,marionnaud_fr
25,100503191,DIOR,"Dior Addict It-lash - Mascara impact sensationnel, volume & longueur, couleur vibrante",36.0,"3,2",mascara,marionnaud_fr
26,100730246,Guerlain,L'Or La Base,65.0,"3,7",base-de-teint-et-primer,marionnaud_fr
27,100394203,Clarins,Yeux Be Long Mascara,32.0,"4,4",mascara,marionnaud_fr
28,100280100,Givenchy,Crayon Yeux,23.0,"3,7",crayon,marionnaud_fr
29,100420141,Armani,Fond de Teint Soyeux Lumineux,55.0,"3,2",fond-de-teint,marionnaud_fr
30,101043253,Armani,Fond de teint,55.0,"4,6",fond-de-teint,marionnaud_fr
31,100280089,Givenchy,Crayon Contour Yeux,23.0,"4,5",crayon,marionnaud_fr
32,101060205,Sisley,Phyto-Blush Twist,48.0,3,blush,marionnaud_fr
33,100450228,Guerlain,Les Météorites Poudre Libre,57.0,"4,7",poudre,marionnaud_fr
34,100006146,Clarins,Lisse Minute Base Comblante,31.0,4,base-de-teint-et-primer,marionnaud_fr
35,100499259,Givenchy,Poudre Libre,54.0,5,poudre,marionnaud_fr
36,100981117,Clinique,Teint de Soie Effet Peau Nue SPF 15,36.0,4,fond-de-teint,marionnaud_fr
37,100946231,Guerlain,"Fond de Teint Perfection Naturelle, Texture Fusionnelle",56.0,"4,5",fond-de-teint,marionnaud_fr
38,101027181,Lancôme,Teint Idole Ultra Wear,49.0,"4,8",fond-de-teint,marionnaud_fr
39,100421793,Armani,Rouge à Lèvres,38.0,"4,3",rouge-a-levres,marionnaud_fr
40,100521268,Yves Saint Laurent,Le Teint Encre de Peau - Fond de Teint Longue Tenue,54.0,4,fond-de-teint,marionnaud_fr
41,100816226,Yves Saint Laurent,Fond de Teint,54.0,"4,3",fond-de-teint,marionnaud_fr
42,101598283,Guerlain,Fond de teint éclat naturel tenue 16h - IP 20,56.0,"4,7",fond-de-teint,marionnaud_fr
43,100958460,Yves Saint Laurent,Vernis À Lèvres Vinyl Cream,37.0,5,gloss,marionnaud_fr
44,100722449,DIOR,DIOR ADDICT LIPSTICK,37.0,"3,8",rouge-a-levres,marionnaud_fr
45,100955322,ELLE MAKEUP,Mon Rouge à Lèvres Mat M04 ROUGE DELICIEUX 3.5G,17.0,5,rouge-a-levres,marionnaud_fr
46,100261873,Yves Saint Laurent,The Mats Rouge à Lèvres,37.0,"4,8",rouge-a-levres,marionnaud_fr
47,100955496,ELLE MAKEUP,Mon Crayon Mat,13.0,5,crayon-a-levres,marionnaud_fr
48,100531491,Guerlain,Le Rouge Crème Galbant,38.0,"4,4",rouge-a-levres,marionnaud_fr
49,100955365,ELLE MAKEUP,Ma Laque Lèvres P04 CORAIL OPALE 8ML,15.0,5,laque-a-levres,marionnaud_fr
50,100812268,Guerlain,Le Rouge Délicieusement Brillant,32.0,"4,4",rouge-a-levres,marionnaud_fr
51,101035093,Givenchy,Rouge à Lèvres,35.0,"4,5",rouge-a-levres,marionnaud_fr
52,101052230,Lancôme,Rouge à lèvres liquide Matte Shaker,27.0,"4,9",rouge-a-levres,marionnaud_fr
53,100974179,BLACK UP,Strobing Stick,31.0,3,illuminateur-de-teint,marionnaud_fr
54,100802385,Givenchy,Rouge à Lèvres,35.0,4,rouge-a-levres,marionnaud_fr
55,100798283,DIOR,"Poudre libre, matité et perfection extrême",50.0,4,poudre,marionnaud_fr
56,100956042,ELLE MAKEUP,Ma Poudre Compacte P04 MIEL 9G,19.0,"4,2",poudre,marionnaud_fr
57,100290105,Givenchy,Rouge à Lèvres,38.0,"4,7",rouge-a-levres,marionnaud_fr
58,100956085,ELLE MAKEUP,Mon Blush  04 BOIS D ROSE 3G,18.0,4,blush,marionnaud_fr
59,100814255,Lancôme,Effacernes Soin Teinté Longue Tenue,35.0,5,anti-cernes-et-correcteur,marionnaud_fr
60,101035421,Givenchy,Crayon à Lèvres,25.0,"4,8",crayon-a-levres,marionnaud_fr
61,100828104,BLACK UP,Anti Brillance,31.0,4,poudre,marionnaud_fr
62,100510331,BLINC,Base pour Ombres à Paupières,25.0,4,ombre-a-paupieres,marionnaud_fr
63,100833149,Shiseido,Teint Fluide Haute Tenue SPF20,50.0,5,fond-de-teint,marionnaud_fr
64,100822141,Sisley,Phyto-Cernes Eclat,76.0,"4,7",anti-cernes-et-correcteur,marionnaud_fr
65,100420213,Armani,Fond de Teint,70.0,"4,3",fond-de-teint,marionnaud_fr
66,100350606,Clinique,Baume à lèvres hydratant teinté couleur,22.0,"4,5",baume-a-levres,marionnaud_fr
67,100390430,DIOR,Dior Contour,26.0,"4,1",crayon-a-levres,marionnaud_fr
68,100496162,BLACK UP,Rouge à Lèvres,22.0,"4,5",rouge-a-levres,marionnaud_fr
69,100271334,BLACK UP,Crayon Lèvres 2 en 1,18.0,5,crayon-a-levres,marionnaud_fr
70,100457219,Sisley,Phyto-Lip Twist,35.0,"4,5",rouge-a-levres,marionnaud_fr
71,100943233,DIOR,Couleur couture. 2 finis : satine et mat-soin fondant,37.0,"4,5",rouge-a-levres,marionnaud_fr
