avg_mark,client_id,price,product_id,product_name,product_type,retailer_id
4.5,CLINIQUE,"92,00",P770087,Repairwear Uplifting - Crème Raffermissante,soinraffermissantliftant,sephora_fr
5.0,SHISEIDO,"138,50",P10000009,Coffret Bio-Performance - Crème Lift Dynamique,coffretsoinvisage,sephora_fr
2.0,URBAN DECAY,"29,50",P10000000,Double Team - Mascara coloré à effets spéciaux,mascara,sephora_fr
5.0,PAI,"25,99",P10001293,Coffret In Your Element Collection : Air,coffretsoinvisage,sephora_fr
5.0,PAI,"25,99",P10001294,COFFRET IN YOUR ELEMENT COLLECTION : WATER - Coffret Soin Visage,coffretsoinvisage,sephora_fr
5.0,PAI,"25,99",P10001295,COFFRET IN YOUR ELEMENT COLLECTION : FIRE - Coffret soin visage,coffretsoinvisage,sephora_fr
4.0,URBAN DECAY,"40,00",P10001325,Best Seller Set - Coffret Maquillage,coffretmaquillageyeux,sephora_fr
5.0,URBAN DECAY,"40,99",P10001324,All Nighter Setting Spray Jumbo - Spray fixateur de maquillage,basedeteintfixateur,sephora_fr
4.5,URBAN DECAY,"40,00",P10001326,Petite Heat Holiday Look - Coffret Maquillage,kitmaquillage,sephora_fr
4.533333333333333,URBAN DECAY,"103,99",P10001328,Naked Cherry Vault - Coffret Maquillage,kitmaquillage,sephora_fr
4.5,URBAN DECAY,"103,99",P10001327,Born To Run Vault - Coffret Maquillage,kitmaquillage,sephora_fr
4.055555555555555,ESTÉE LAUDER,"61,99",P100529,Hydrationist - Crème Ultra-Hydratation - Peaux Normales à Mixtes,soinhydratantnourrissant,sephora_fr
4.615384615384615,ESTÉE LAUDER,"61,99",P100548,Hydrationist - Crème Ultra-Hydratation - Peaux Sèches,soinhydratantnourrissant,sephora_fr
3.8333333333333335,BUMBLE AND BUMBLE,"33,00",P1012008,Color Minded Sulfate Free Shampoo - Shampooing protecteur de couleur,shampoing,sephora_fr
5.0,BUMBLE AND BUMBLE,"35,00",P1012009,Color Minded Conditioner  - Après-shampooing / masque protecteur de couleur,masquecheveux,sephora_fr
4.666666666666667,CLARINS,"73,99",P77009,Serum Phyto-tenseur,srum,sephora_fr
4.360655737704918,GUERLAIN,"101,00",P770090,La Petite Robe Noire - Eau de Parfum,eaudeparfum,sephora_fr
4.6,CLARINS,"28,99",P770106,ClarinsMen - Nettoyant Exfoliant,nettoyantgommage,sephora_fr
4.375,PACO RABANNE,"85,00",P7701,Black XS - Eau de Toilette,eaudetoilette,sephora_fr
4.333333333333333,CLARINS,"28,00",P770109,Eau des Jardins - Douche Exquise,geldouche,sephora_fr
4.0,CLARINS,"45,00",P770110,Eau des Jardins - Crème Corps Délicieuse,crmehydratante,sephora_fr
3.1666666666666665,SISLEY,"301,00",P770131,Sisleÿa - Concentré Anti-Age Fermeté Corps,soinbusteetdcollet,sephora_fr
3.0,SISLEY,"287,00",P770133,Phyto-Blanc - Intensive Lightening Serum,srum,sephora_fr
4.0,SISLEY,"103,00",P770134,Super Soin Autobronzant Hydratant Visage,autobronzantvisage,sephora_fr
3.0,SISLEY,"81,99",P770135,Phyto-Touche Gel Teinté Corps,poudredesoleil,sephora_fr
4.105263157894737,DECLÉOR,"25,00",P770146,Aroma Confort - Gel double action post-épilation,epilation,sephora_fr
3.49438202247191,BENEFIT COSMETICS,"40,50",P770172,Hello Flawless Oxygen Wow - Fond de Teint Fluide SPF 25,fonddeteint,sephora_fr
4.074074074074074,BENEFIT COSMETICS,"30,50",P770174,SunBeam - Enlumineur Visage Bronze Doré,highlighter,sephora_fr
2.980769230769231,DR. BRANDT SKINCARE,"41,99",P770178,Dr Brandt's signature flexitone BB Cream,bbcrmecccrme,sephora_fr
4.3076923076923075,BY TERRY,"116,00",P770179,Eclat Opulent,fonddeteint,sephora_fr
4.105263157894737,MOLINARD,"92,00",P1012024,Habanita - Eau de Parfum,eaudeparfum,sephora_fr
4.461538461538462,DIOR,"84,00",P1016008,Dior Addict - Eau Fraîche,eaudetoilette,sephora_fr
4.909090909090909,MUGLER,"86,00",P1014002,A*Men Pure Havane - Eau de Toilette,eaudetoilette,sephora_fr
3.35,BLACKUP,"40,00",P1016013,Base Matifiante Perfectrice,basedeteintfixateur,sephora_fr
4.352941176470588,SEPHORA COLLECTION,"7,99",P1018006,Nettoyant visage tonifiant,nettoyantgommage,sephora_fr
3.0,SEPHORA COLLECTION,"15,99",P1018009,Baume hydratant quotidien,soinhydratantdfatigant,sephora_fr
4.714285714285714,SEPHORA COLLECTION,"7,99",P1018012,Déodorant roll-on anti-transpirant,dodoranthomme,sephora_fr
4.75,SEPHORA COLLECTION,"8,99",P1018013,Gel douche qui fait tout,geldouchesavon,sephora_fr
4.0,SEPHORA COLLECTION,"39,99",P1018014,Blaireau de rasage 100% poils naturels,gelmousseraser,sephora_fr
4.333333333333333,SEPHORA COLLECTION,"15,99",P1018016,Trousse de toilette,troussedevoyage,sephora_fr
4.2,LANCÔME,"32,50",P1022009,Ombre Hypnôse,fardpaupires,sephora_fr
3.945945945945946,LANCÔME,"25,99",P1022010,Le Crayon Sourcils,crayonpoudresourcils,sephora_fr
4.296296296296297,LANCÔME,"39,00",P1022011,Liner Plume,eyeliner,sephora_fr
4.395348837209302,BALENCIAGA,"93,00",P102722,"Balenciaga Paris 10, avenue George V - Eau de Parfum",eaudeparfum,sephora_fr
4.0,LANCASTER,"37,00",P103550,Sun Beauty - spray solaire lacté non gras SPF30,protectionsolairecorps,sephora_fr
4.793103448275862,GIVENCHY,"90,00",P103552,Eaudemoiselle de Givenchy - Eau de Toilette,eaudetoilette,sephora_fr
4.405817174515235,YVES SAINT LAURENT,"35,00",P103608,Mascara Volume Effet Faux Cils,mascara,sephora_fr
4.888888888888889,VIKTOR & ROLF,"41,00",P103624,Petite Flowerbomb - Eau de parfum,eaudeparfum,sephora_fr
4.714285714285714,STRIVECTIN,"42,50",P1037009,StriVectin-SD - Gommage retexturisant instantané,gommagepeelingvisage,sephora_fr
3.945945945945946,SEPHORA COLLECTION,"13,99",P1038007,Baguette de 3 pinceaux yeux,pinceaupaupires,sephora_fr
4.107558139534884,SEPHORA COLLECTION,"13,99",P1038008,Poudre Compacte matifiante 8h,poudrematifiante,sephora_fr
4.014925373134329,CLINIQUE,"38,00",P103810,Anti-Blemish Solutions - Fond de Teint Liquide Formule S.O.S,fonddeteint,sephora_fr
4.2,ELIZABETH ARDEN,"81,00",P103817,Ceramide Lift & Firm - Crème de Jour Liftante et Raffermissante IPS 30,crmedejour,sephora_fr
4.125,BENEFIT COSMETICS,"37,00",P102810,Sugarbomb - Blush,blush,sephora_fr
4.818181818181818,BURBERRY,"73,00",P1028003,Burberry Body - Eau de Toilette,eaudetoilette,sephora_fr
4.0394736842105265,GIVENCHY,"36,00",P1031002,Noir Couture,mascara,sephora_fr
2.0,CALVIN KLEIN,"25,00",P103217,Déodorant Stick,dodoranthomme,sephora_fr
4.666666666666667,CALVIN KLEIN,"30,00",P103215,Lotion Hydratante pour la peau,soinhydratant,sephora_fr
3.6666666666666665,CALVIN KLEIN,"25,00",P103218,Déodorant Vaporisateur,dodoranthomme,sephora_fr
3.5,HERBORIST,"53,00",P103404,Crème Contour des Yeux Time Reverse,contourdesyeux,sephora_fr
3.4878048780487805,SEPHORA COLLECTION,"13,99",P103826,Pinceau Kabuki Flex 2 en 1,pinceauxteint,sephora_fr
3.3207547169811322,CLINIQUE,"48,00",P1059005,Even Better Eyes - Soin Eclat Correction Cernes,contourdesyeux,sephora_fr
4.2631578947368425,HUGO BOSS,"48,00",P1059001,Boss Orange Man - Eau de Toilette,eaudetoilette,sephora_fr
4.3076923076923075,GUCCI,"92,00",P1060002,Gucci Guilty Intense - Eau de Parfum,eaudeparfum,sephora_fr
4.857142857142857,SERGE LUTENS,"189,00",P1060004,Santal Majuscule - Eau de Parfum,eaudeparfum,sephora_fr
4.529411764705882,BLACKUP,"22,00",P1061005,Crayon Lèvres 2 en 1 jumbo,rougelvres,sephora_fr
5.0,LAURA MERCIER,"28,00",P106119,Lip Glacé - Lèvres Glacées,gloss,sephora_fr
4.557377049180328,LANCÔME,"112,00",P106117,Trésor in Love - Eau de Parfum,eaudeparfum,sephora_fr
4.429530201342282,MAKE UP FOR EVER,"23,50",P1042006,Aqua Brow - Correcteur Sourcils Waterproof,gelmascarasourcils,sephora_fr
4.333333333333333,CLARINS,"29,00",P104209,Crème Jeunesse des Pieds,soindespieds,sephora_fr
4.71875,CLARINS,"57,00",P104210,Eau des Jardins,eaudesoin,sephora_fr
4.083333333333333,LANCÔME,"90,00",P104350,Génifique Repair - Soin nuit,crmedenuit,sephora_fr
